password,length,uppercase,lowercase,digits,special,strength
eOSsV5*u&,9,3,3,1,2,Strong
pdZ@s6Ota*,10,2,5,1,2,Strong
QL8Ls4Ro9froNd,14,5,6,3,0,Medium
C5TlPhy^CJzc,12,5,5,1,1,Strong
&5l$Yy!,7,1,2,1,3,Medium
$hUYs2VXVbK,11,6,3,1,1,Strong
SN5lB414Ku2,11,4,2,5,0,Medium
rlsAM8^QiWla,12,4,6,1,1,Strong
I1w7rzxWL!fM,12,4,5,2,1,Strong
M@7CdatHM8pK1w!,15,5,5,3,2,Strong
FdpJ@iU93H8pV$cH,16,6,5,3,2,Strong
hsO7rTug,8,2,5,1,0,Medium
U1TgLL^j$y,10,4,3,1,2,Strong
xmv*POMIUm&Tsbr%,16,6,7,0,3,Medium
V!0RunBt#C,10,4,3,1,2,Strong
^&o16joqc,9,0,5,2,2,Medium
SNUr4%RwMdpCq,13,6,5,1,1,Strong
DNqAqk2o,8,3,4,1,0,Medium
c93fzne,7,0,5,2,0,Weak
$h8pGfiMbmpAzxSd,16,4,10,1,1,Strong
sJSTu#E,7,4,2,0,1,Medium
imb^ByKv&amB#8,14,3,7,1,3,Strong
x4nxTW2B$D0,11,4,3,3,1,Strong
Op7o%r@,7,1,3,1,2,Medium
KfkP@oXK6N4,11,5,3,2,1,Strong
0L2yi8Vwb,9,2,4,3,0,Medium
!nY4%kpsYZnviUzR,16,5,8,1,2,Strong
ZpD2@JIZT,9,6,1,1,1,Strong
Z!$Js6npG!@Dr,13,4,4,1,4,Strong
mgi@dw,6,0,5,0,1,Weak
PtMmj%@7zL@!,12,3,4,1,4,Strong
H*R**ce3pX5OW4,14,5,3,3,3,Strong
eewMv!3rNX!o!,13,3,6,1,3,Strong
*88u#hYH@WTKPhdf,16,6,5,2,3,Strong
USdRWm2S,8,5,2,1,0,Medium
0ShFFENkiNo,11,6,4,1,0,Medium
vc&Pe62$1Ic,11,2,4,3,2,Strong
cOWXPm!mAR@#R,13,7,3,0,3,Medium
MU3z@j&B,8,3,2,1,2,Strong
HgMZClmRIi,10,6,4,0,0,Medium
^82ASjM#M3*Oz1Z,15,6,2,4,3,Strong
$6xc%x@B7I,10,2,3,2,3,Strong
&3h%zU7sEtM30OiA,16,5,5,4,2,Strong
IKuGEZEotydF,12,7,5,0,0,Medium
7!32ezuIrd,10,1,5,3,1,Strong
Jwf!chkOMi,10,3,6,0,1,Medium
UlYrEo#p%^G@,12,4,4,0,4,Medium
EpOQXE2,7,5,1,1,0,Medium
snwBJ40Gh,9,3,4,2,0,Medium
&VoO*28FJsU8V,13,6,2,3,2,Strong
cegEGXNUp&,10,5,4,0,1,Medium
4XbYGMlEM,9,6,2,1,0,Medium
u4O0eJk!8,9,2,3,3,1,Strong
Q2muH#iT1P6d,12,4,4,3,1,Strong
x4raZz,6,1,4,1,0,Medium
NOkouF%q0O59rHwP,16,6,6,3,1,Strong
zk1VxYWCcc,10,4,5,1,0,Medium
Dl7zHvgZ2HtlVv,14,5,7,2,0,Medium
pb^36@pCAyIK@Wq,15,5,5,2,3,Strong
ABKy1x0sdLHE,12,6,4,2,0,Medium
5FV6kb8rPYBX2Gj,15,7,4,4,0,Medium
hgQE8Tf,7,3,3,1,0,Medium
G#WMYV,6,5,0,0,1,Weak
fwHv#@R7,8,2,3,1,2,Strong
lO^3sHoO,8,3,3,1,1,Strong
q@JU3K,6,3,1,1,1,Medium
H%O3vO!t4g,10,3,3,2,2,Strong
tgDxe8Hu7,9,2,5,2,0,Medium
o@f4T!6@ospS,12,2,5,2,3,Strong
AKxv$IB,7,4,2,0,1,Medium
a^x1jF@mQdKpYVn,15,5,7,1,2,Strong
tdk696IaQf5,11,2,5,4,0,Medium
qBgKPhjWlZG,11,6,5,0,0,Medium
EZlcAuXZ,8,5,3,0,0,Medium
tpM!3NqTmV,10,4,4,1,1,Strong
z!5X8I2l2Vx32l,14,3,4,6,1,Strong
$R7Ct@,6,2,1,1,2,Medium
^kL73k9MtqMF%2,14,4,4,4,2,Strong
gjf$n$20m7,10,0,5,3,2,Medium
GTGk#co7wxYfk1MO,16,6,7,2,1,Strong
65HRxBxkHn3&caY,15,5,6,3,1,Strong
bv96Z!M,7,2,2,2,1,Medium
UYMlqrbyocydA9s,15,4,10,1,0,Medium
E3&ylM7s82covt4!,16,2,7,5,2,Strong
c5FzLYgQbn31@,13,4,5,3,1,Strong
Le!Z!$!Dh^c2OiI,15,5,4,1,5,Strong
18o@S53cuKy8S4D#,16,4,4,6,2,Strong
R7qLX1U8u,9,4,2,3,0,Medium
AKl9qwzu!m1@MEA,15,5,6,2,2,Strong
gcTHTuw#eiR3oD,14,5,7,1,1,Strong
C!HRTfI,7,5,1,0,1,Medium
$ng46onn,8,0,5,2,1,Medium
f#nvpAUuL4#@mt,14,3,7,1,3,Strong
UQrpz41aF8RK#vkI,16,6,6,3,1,Strong
1UFt^1Dr200,11,3,2,5,1,Strong
%Ud4sb%ikROZv,13,4,6,1,2,Strong
hYeth%L1ZMOS,12,6,4,1,1,Strong
J^sZ5A,6,3,1,1,1,Medium
4SZzMke&QXq%*K,14,6,4,1,3,Strong
l$N%Rucd*,9,2,4,0,3,Medium
HEM2#ohVH#Tpgp5,15,6,5,2,2,Strong
a6RE&DSMKr,10,6,2,1,1,Strong
%FnP%yU6ms20,12,3,4,3,2,Strong
lh2q8B5,7,1,3,3,0,Medium
V^Z%YH@,7,4,0,0,3,Weak
24!1us#q!6q$^pB6,16,1,5,5,5,Strong
euVp0opVLf%tp,13,3,8,1,1,Strong
NVML!dss1gN,11,5,4,1,1,Strong
Bx!apSif19,10,2,5,2,1,Strong
N5RW8qr#655tPl0,15,4,4,6,1,Strong
DYR*f4JlvdNp,12,5,5,1,1,Strong
ky*g%y8#cp&xcJAF,16,3,8,1,4,Strong
4k&PZf!cR3x1d^O,15,4,5,3,3,Strong
Glom*vKsxGlt,12,3,8,0,1,Medium
0vhPxdhMXm,10,3,6,1,0,Medium
s0PHWpgzEE@,11,5,4,1,1,Strong
#XoIhO70i9d0Dc,14,4,5,4,1,Strong
mFqM05k#As,10,3,4,2,1,Strong
*vF&25fa7Lv,11,2,4,3,2,Strong
h9IGWS,6,4,1,1,0,Medium
B$Kfu&iMlYprJ3A#,16,6,6,1,3,Strong
RH5IFPRA6Qc,11,8,1,2,0,Medium
a8abw0!Y,8,1,4,2,1,Strong
kj&d4pTWTXwbp7,14,4,7,2,1,Strong
y4bCcJTylMC,11,5,5,1,0,Medium
@UeJ@AazY,9,4,3,0,2,Medium
J#@vywi,7,1,4,0,2,Medium
qiqHD%Jyc&G6a2g,15,4,7,2,2,Strong
30Jp%7@U%fC,11,3,2,3,3,Strong
J1&5Oa,6,2,1,2,1,Medium
yQkdC2jFzvQN,12,5,6,1,0,Medium
md93dQG,7,2,3,2,0,Medium
n8ERgQ%Ej,9,4,3,1,1,Strong
4m5pkheWOiqh4hM,15,3,9,3,0,Medium
3inhgLWZm0Db6X7,15,5,6,4,0,Medium
mRd6%Qynnbiy,12,2,8,1,1,Strong
q$GT194xFrfhqN3,15,4,6,4,1,Strong
TN*ss8NRLVb%sh,14,6,5,1,2,Strong
#g2SzzziR,9,2,5,1,1,Strong
87QQM1Qun,9,4,2,3,0,Medium
f@CaCD7BE9QWA,13,8,2,2,1,Strong
xaUbjTdosL4y,12,3,8,1,0,Medium
UfdzzKwCHwRFwzcw,16,6,10,0,0,Medium
mcrWoRAN6E,10,5,4,1,0,Medium
Vv^3ipsqyy&,11,1,7,1,2,Strong
VO2Ffy&LtPFg,12,6,4,1,1,Strong
Jq$!Ak8iv$X$V@%7,16,4,4,2,6,Strong
PV^9@8IZ,8,4,0,2,2,Medium
eACz5EYBN2WuVGkr,16,9,5,2,0,Medium
L4%TDf7,7,3,1,2,1,Medium
R25730V@OIWdw4,14,5,2,6,1,Strong
HjTkL#$*k,9,3,3,0,3,Medium
DmpjUe*zQz,10,3,6,0,1,Medium
QGMJyr*HbMKSZZb8,16,10,4,1,1,Strong
$tYDDA8D%77RkOy2,16,7,3,4,2,Strong
A45dVrqNb@TR,12,5,4,2,1,Strong
12Z&MPcer,9,3,3,2,1,Strong
QYWAYi&X,8,6,1,0,1,Medium
8nQ5Mlvnw,9,2,5,2,0,Medium
!dxziX,6,1,4,0,1,Medium
ADL^i6hV%b,10,4,3,1,2,Strong
P0Yuoq&1,8,2,3,2,1,Strong
iXAqAN38uNz#6,13,5,4,3,1,Strong
zas5iZF^Q!,10,3,4,1,2,Strong
7flK6SMYw1Fw3,13,5,4,4,0,Medium
XxmYfEuJ&LiB@,13,6,5,0,2,Medium
pVjn#P05vGA#,12,4,4,2,2,Strong
7dj7WR,6,2,2,2,0,Medium
yYebGorP7!7i,12,3,6,2,1,Strong
F4r8Juv,7,2,3,2,0,Medium
mwLp&Y,6,2,3,0,1,Medium
jbIt4TwB,8,3,4,1,0,Medium
&B4g%n,6,1,2,1,2,Medium
N4gagWzFVEzl,12,5,6,1,0,Medium
1dbRyi,6,1,4,1,0,Medium
mvvf1$nPP,9,2,5,1,1,Strong
yA*Y2pDBnTPwbZ,14,7,5,1,1,Strong
ObXB6CiJVfiB0M@n,16,8,5,2,1,Strong
vGmPXrQwO9iQc5,14,6,6,2,0,Medium
$D#bDcpNE2Fk,12,5,4,1,2,Strong
rV@Lzt,6,2,3,0,1,Medium
AeE4QrJOf%1K,12,6,3,2,1,Strong
DQRFA*,6,5,0,0,1,Weak
FCW%Px,6,4,1,0,1,Medium
ai!iygsAqlwAE,13,3,9,0,1,Medium
k27NvzF2wFMK5z,14,5,5,4,0,Medium
9kUYWv842#,10,3,2,4,1,Strong
3t9cW2kM&twGW7N,15,5,5,4,1,Strong
KW9jQr8ztyab#,13,3,7,2,1,Strong
!Z1YVX!Nj0e,11,5,2,2,2,Strong
Xuy3GS$,7,3,2,1,1,Medium
VhX2FF9eUdsH6,13,6,4,3,0,Medium
sGFubolXYk%y2v2G,16,5,8,2,1,Strong
#&WN0lnSsI,10,4,3,1,2,Strong
YNav!ami1,9,2,5,1,1,Strong
1K3vwVxrz!x#o5,14,2,7,3,2,Strong
BxzhxyH04nvkLkW,15,4,9,2,0,Medium
JiRdE9!,7,3,2,1,1,Medium
mbhIafmB%aW%I!8R,16,5,7,1,3,Strong
2RVROEUZWhTQma6,15,10,3,2,0,Medium
rdp^JFV58$0y,12,3,4,3,2,Strong
PcUfP4,6,3,2,1,0,Medium
!ZkS28mXL,9,4,2,2,1,Strong
ys%#eq@lM7v5o9*,15,1,7,3,4,Strong
FBvln3duP,9,3,5,1,0,Medium
JCG8pr&!lQCi,12,5,4,1,2,Strong
RWW3DCHoLlolRyoV,16,9,6,1,0,Medium
OWaNh&yX,8,4,3,0,1,Medium
OUq%CnYb&6Os,12,5,4,1,2,Strong
C@6sKseON#,10,4,3,1,2,Strong
J9B@LWh,7,4,1,1,1,Medium
tACgw!YMucY,11,5,5,0,1,Medium
28SYYj^KKyY,11,6,2,2,1,Strong
qPgM6ur,7,2,4,1,0,Medium
9LsABzbUnsW2v,13,5,6,2,0,Medium
mT8wgp,6,1,4,1,0,Medium
R3tZFepEY!MwWl,14,7,5,1,1,Strong
WJ4Vbpokp!$Cc,13,4,6,1,2,Strong
9JmxX93MqmPi&xZ,15,5,6,3,1,Strong
Y&^!i%,6,1,1,0,4,Medium
&pApxxa5OpfqAul,15,3,10,1,1,Strong
Gekp#MU*v2aFMf,14,5,6,1,2,Strong
L&4r!O%T&$AmfE,14,5,3,1,5,Strong
ysMBrB,6,3,3,0,0,Weak
TJq2jGHWuZ6kG2s,15,7,5,3,0,Medium
AjIyV$u1tO3WdF,14,6,5,2,1,Strong
Ip&o0iQ,7,2,3,1,1,Medium
lUQIsCJbmWCWnpw^,16,8,7,0,1,Medium
!m^SKImgvO,10,4,4,0,2,Medium
xS&Z9qHb$tqs,12,3,6,1,2,Strong
IgVF16x4T7#K,12,5,2,4,1,Strong
2%DNlN0Olk,10,4,3,2,1,Strong
ElvhkK@,7,2,4,0,1,Medium
2$r9@$,6,0,1,2,3,Medium
&pZbya2&SF^f5v^C,16,4,6,2,4,Strong
jUr$Tg2@,8,2,3,1,2,Strong
vVoRF*pLM9LH,12,7,3,1,1,Strong
aYBN$e7!h,9,3,3,1,2,Strong
a6QMTnaSxZT,11,6,4,1,0,Medium
m3!zk^,6,0,3,1,2,Medium
t0p!atGC8YVMU2,14,6,4,3,1,Strong
&In44urT,8,2,3,2,1,Strong
aTzoyKfrY1Qe,12,4,7,1,0,Medium
z9Ip1!@q,8,1,3,2,2,Strong
Z#XqoncqtS#,11,3,6,0,2,Medium
EgR2b3,6,2,2,2,0,Medium
LK!k2Ft$xFJoH,13,6,4,1,2,Strong
2z8n#xytD,9,1,5,2,1,Strong
qZeJys2,7,2,4,1,0,Medium
zlgW0^,6,1,3,1,1,Medium
DCR29h$2gM,10,4,2,3,1,Strong
IUJS1FO,7,6,0,1,0,Weak
xfagPB,6,2,4,0,0,Weak
8Jm3xG!UQM,10,5,2,2,1,Strong
mbqQUU^,7,3,3,0,1,Medium
VEJAXlnqpfyy5mj,15,5,9,1,0,Medium
RM8z&tfqy1GSU5,14,5,5,3,1,Strong
p3i91^#cvJqLfhyY,16,3,8,3,2,Strong
&$jv4$XXZIAxa,13,5,4,1,3,Strong
Bb$6#^HM,8,3,1,1,3,Strong
LIpvCf&EL,9,5,3,0,1,Medium
sJrIgF,6,3,3,0,0,Weak
&oaSVPkHr,9,4,4,0,1,Medium
LPhbTCJwGc&n,12,6,5,0,1,Medium
GA4CPIAYt5D3,12,8,1,3,0,Medium
s9l@x6xwy!x,11,0,7,2,2,Medium
KcNuwYyisj2F6Zm^,16,5,8,2,1,Strong
bmWXcobf,8,2,6,0,0,Medium
FkIsbbn*,8,2,5,0,1,Medium
kzr94uNQ9tF,11,3,5,3,0,Medium
*I*pcf,6,1,3,0,2,Medium
*Ln$1sa,7,1,3,1,2,Medium
dD2XsTKCX,9,6,2,1,0,Medium
o!voCnKTjQpUkftw,16,5,10,0,1,Medium
^Qx2tMKSnI@V,12,6,3,1,2,Strong
jatsOsX59i,10,2,6,2,0,Medium
2JslPqx,7,2,4,1,0,Medium
TO@290QrFX1@,12,5,1,4,2,Strong
&@&&DXk1^ClEUa,14,5,3,1,5,Strong
cU8rohSUr,9,3,5,1,0,Medium
6s1FAChrps,10,3,5,2,0,Medium
d2Vgnj9udsUs,12,2,8,2,0,Medium
Fjb1tx8,7,1,4,2,0,Medium
^M80R4bK,8,3,1,3,1,Strong
thew#ub,7,0,6,0,1,Weak
26H#ND2uIl%W,12,5,2,3,2,Strong
BZhCYxj7,8,4,3,1,0,Medium
OZWvgV2yInnjU,13,6,6,1,0,Medium
QdEKu*niBbNyzeE,15,6,8,0,1,Medium
kf9fgOlNbT,10,3,6,1,0,Medium
Y#yOYTqmQ0,10,5,3,1,1,Strong
m#tdW9eLut7klD,14,3,8,2,1,Strong
su#%%R5qR,9,2,3,1,3,Strong
U3fXEAjt@m,10,4,4,1,1,Strong
sNl@m6,6,1,3,1,1,Medium
vLuiJUTljw6,11,4,6,1,0,Medium
8G4rp!fUKZ,10,4,3,2,1,Strong
q4U$OVk0#5Hf,12,4,3,3,2,Strong
hFbtnLWuZjCX7lS,15,7,7,1,0,Medium
7&7nkxnY3zZQi,13,3,6,3,1,Strong
R!B8oJ6e*t8,11,3,3,3,2,Strong
BOeWhU38,8,4,2,2,0,Medium
gBc2IGwks,9,3,5,1,0,Medium
JZkM51^,7,3,1,2,1,Medium
Hxgl2RMvz,9,3,5,1,0,Medium
198&u3TXbzj,11,2,4,4,1,Strong
sPObt6s@Oo0H%a5q,16,4,7,3,2,Strong
5meBy1*vWBSAybVU,16,7,6,2,1,Strong
MN#p@6,6,2,1,1,2,Medium
0TT*2%Qow62V,12,4,2,4,2,Strong
u*3WK3Km,8,3,2,2,1,Strong
nlc0n@*,7,0,4,1,2,Medium
4#eL1BC,7,3,1,2,1,Medium
Woz8pS70YaVC#,13,5,4,3,1,Strong
IHN1Ea1ebd,10,4,4,2,0,Medium
V%OQv3EY,8,5,1,1,1,Strong
Yg2qXwZO%,9,4,3,1,1,Strong
3Dmq#pYH,8,3,3,1,1,Strong
uPAlld3btd*kWd,14,3,9,1,1,Strong
6TxECMy&,8,4,2,1,1,Strong
WHgJkscno,9,3,6,0,0,Medium
pnsKHxlj@UAYm,13,5,7,0,1,Medium
c0j!jA1WO5uxM,13,4,5,3,1,Strong
wepRS9,6,2,3,1,0,Medium
*au%Gpyd&c%$tBU,15,3,7,0,5,Medium
BdPrCkq,7,3,4,0,0,Weak
J9zlSL7@3$,10,3,2,3,2,Strong
yGwzJYnNvA!3,12,5,5,1,1,Strong
2IOnX2zTVi5ve,13,5,5,3,0,Medium
G0L^TYdoxP2xTF,14,7,4,2,1,Strong
BVVsOpb,7,4,3,0,0,Weak
bQB7PDiXKB^,11,7,2,1,1,Strong
nJj13OOzz,9,3,4,2,0,Medium
@@fJ1p,6,1,2,1,2,Medium
5vPXEcK,7,4,2,1,0,Medium
a7KqZe,6,2,3,1,0,Medium
^fRci8m1MJOSZk,14,6,5,2,1,Strong
O@gYM6@pVndCgb,14,5,6,1,2,Strong
nP3CvlyV,8,3,4,1,0,Medium
agHfogMjHQWIvr,14,6,8,0,0,Medium
6pqOs05p%^E9!JP,15,4,4,4,3,Strong
ClHLkTFAjj@hB,13,7,5,0,1,Medium
B7Xy!n,6,2,2,1,1,Medium
A^$ON6t#nqC,11,4,3,1,3,Strong
X5$zZyiJ2vN,11,4,4,2,1,Strong
ns7noEc6xId8^5T,15,3,7,4,1,Strong
pkT3BtY#3$,10,3,3,2,2,Strong
g4IVmgW2yLy,11,4,5,2,0,Medium
wJ^@%3ngFoCo,12,3,5,1,3,Strong
eIEi&m,6,2,3,0,1,Medium
CZYYmCI@Av,10,7,2,0,1,Medium
SKKamx#9N,9,4,3,1,1,Strong
vOivxQ6sb,9,2,6,1,0,Medium
82QcwHjvbT8a!F8o,16,4,7,4,1,Strong
cLD^#v,6,2,2,0,2,Medium
mmMQ5!S*,8,3,2,1,2,Strong
!GU6bTMQ%9,10,5,1,2,2,Strong
I%cs0Cs,7,2,3,1,1,Medium
@dF3UAlyWnJ,11,5,4,1,1,Strong
*5^wHSQY1JNyf%Rp,16,7,4,2,3,Strong
6SKob@s7t%Lu,12,3,5,2,2,Strong
!KiLb6fBKp,10,4,4,1,1,Strong
!Na3Ta,6,2,2,1,1,Medium
GrSK#t,6,3,2,0,1,Medium
Isz3kLC,7,3,3,1,0,Medium
8TFX2Z,6,4,0,2,0,Weak
HMNw3Pr,7,4,2,1,0,Medium
zGr1zMNkM7*xW3mr,16,5,7,3,1,Strong
4O#T7T27107dd1,14,3,2,8,1,Strong
rMF$Vq*,7,3,2,0,2,Medium
LgYqZa7%6gkhInQ,15,5,7,2,1,Strong
mL9Qhp$gA%s@rCt,15,4,7,1,3,Strong
Na!zoiatp%,10,1,7,0,2,Medium
FAn8d#4,7,2,2,2,1,Medium
hpMZ9xE*H4p3,12,4,4,3,1,Strong
cxsEv$*z,8,1,5,0,2,Medium
9LLm@VJYXn712,13,6,2,4,1,Strong
dK6pXbMe,8,3,4,1,0,Medium
4fTr76JbuT##AS^X,16,6,4,3,3,Strong
iwtTR6rJMYi9W8,14,6,5,3,0,Medium
x#^HqPSZifduDmn,15,5,8,0,2,Medium
8PDEnwX1ihGoe,13,5,6,2,0,Medium
4VdwPn5,7,2,3,2,0,Medium
rzzG!4KCzu3^,12,3,5,2,2,Strong
ldmAeraU0,9,2,6,1,0,Medium
*jRx^@yA8#TTri4,15,4,5,2,4,Strong
Wjkq%Mmp@Dg*,12,3,6,0,3,Medium
cCLGXTiuKj&,11,6,4,0,1,Medium
E%#NZh*o8HdeR1H,15,6,4,2,3,Strong
QhrAQhE@j,9,4,4,0,1,Medium
eSj1k9qIfne@#CS,15,4,7,2,2,Strong
9MDchdz&Wc9g,12,3,6,2,1,Strong
Wq32ro4pVTyR,12,4,5,3,0,Medium
hEDlbD0&fbFh,12,4,6,1,1,Strong
hq4xKfO,7,2,4,1,0,Medium
FLqY9pjjG*A,11,5,4,1,1,Strong
TC4MULF^IO*#n,13,8,1,1,3,Strong
S0!JkA,6,3,1,1,1,Medium
%DNApVse,8,4,3,0,1,Medium
46oc@eIJX,9,3,3,2,1,Strong
khJX@cWX4f,10,4,4,1,1,Strong
AWx3&gNe*,9,3,3,1,2,Strong
dRHBdR32hnX,11,5,4,2,0,Medium
K&72%HuW7EqbJJkF,16,7,4,3,2,Strong
LRYeJUIGbpNPHw,14,10,4,0,0,Medium
7c4b7eT9B0hkJ,13,3,5,5,0,Medium
Oi4xHJH@qDwsgDo,15,6,7,1,1,Strong
ex#4OfDhHGcT*fES,16,7,6,1,2,Strong
j#4o$jE,7,1,3,1,2,Medium
PV1j2KsdP,9,4,3,2,0,Medium
UQ0V8LduVfLtdnB,15,7,6,2,0,Medium
$$SBWetWkjC,11,5,4,0,2,Medium
#1&p^g8^%4OIyLF,15,4,3,3,5,Strong
FUD6OoE40Uk,11,6,2,3,0,Medium
#jU9D51Dq&F,11,4,2,3,2,Strong
rHKROpk01#s@,12,4,4,2,2,Strong
zx6bvp1H8mqe3dvj,16,1,11,4,0,Medium
$^X2TqZE,8,4,1,1,2,Strong
pRRnfjT505,10,3,4,3,0,Medium
L9rx$ktaV6WP,12,4,5,2,1,Strong
w$JmDM@Rg%^$2,13,4,3,1,5,Strong
PXOwsfA3%J,10,5,3,1,1,Strong
OmSKvpKJ!4CvKHn,15,8,5,1,1,Strong
JsmA$vdf*,9,2,5,0,2,Medium
ya!dVAK24%q6Lo,14,4,5,3,2,Strong
43@HlrJ,7,2,2,2,1,Medium
oTkCjPu#QJ6$jOe3,16,6,6,2,2,Strong
%OyebFr,7,2,4,0,1,Medium
WCzH8t!x@Kqzl%B,15,5,6,1,3,Strong
3i!Awe,6,1,3,1,1,Medium
HWES9^xMDL!!,12,7,1,1,3,Strong
YT*9LmCoK15PF2ow,16,7,4,4,1,Strong
OoSYq9!0EdLI#,13,6,3,2,2,Strong
0hPHO0Y42,9,4,1,4,0,Medium
HgI!CRfN50Cv,12,6,3,2,1,Strong
AoQq*ccWlQTig%,14,5,7,0,2,Medium
U&zu&YDLu,9,4,3,0,2,Medium
Q0BFbec^n#Y,11,4,4,1,2,Strong
fuKMdDFeIpWZq,13,7,6,0,0,Medium
kjj#1cb*tm,10,0,7,1,2,Medium
YyNP2$cMJ6zmH8W,15,7,4,3,1,Strong
2lC0J9K&#F,10,4,1,3,2,Strong
c@YV*n5CdYD5,12,5,3,2,2,Strong
9nNQskmvA!F,11,4,5,1,1,Strong
sZ8%Dh@,7,2,2,1,2,Medium
0NRteP0aIA,10,5,3,2,0,Medium
!*@OEP79$kn2jW,14,4,3,3,4,Strong
bu%pvz4o,8,0,6,1,1,Medium
2@v^!r,6,0,2,1,3,Medium
1ZbLp3LI%PVvsL,14,7,4,2,1,Strong
AV%G87AQrv^8bO,14,6,3,3,2,Strong
wt8iaNyzm&6Q,12,2,7,2,1,Strong
h7uiSCS,7,3,3,1,0,Medium
byJK2NVZG*zjtnBJ,16,8,6,1,1,Strong
Hnq%XQJ8,8,4,2,1,1,Strong
vaDBlssv8,9,2,6,1,0,Medium
Pjgr$4,6,1,3,1,1,Medium
8PM#pEYWX8TN,12,8,1,2,1,Strong
O^kBvJs34!Gp3S,14,5,4,3,2,Strong
dU7S2ByW,8,4,2,2,0,Medium
wbz4U^yaNQm,11,3,6,1,1,Strong
G#bIeJ9YfGJ,11,6,3,1,1,Strong
hd86!w8*neVdtwqk,16,1,10,3,2,Strong
ph4hOm*JycQO,12,4,6,1,1,Strong
U%bZ1hiy,8,2,4,1,1,Strong
sIkw4fJz#0waNJ,14,4,7,2,1,Strong
SpR7l7lolxlxOc,14,3,9,2,0,Medium
bBV6kFNy,8,4,3,1,0,Medium
NgWKwJrO,8,5,3,0,0,Medium
CyIzwLH4Hl!T,12,6,4,1,1,Strong
US%5veXt&A3SKAR,15,8,3,2,2,Strong
Il$AHB7Heo%x8r,14,5,5,2,2,Strong
PVWePnTbu18QR,13,7,4,2,0,Medium
mxTNu7*xc463Z8FG,16,5,5,5,1,Strong
R9ZMfD#n12I,11,5,2,3,1,Strong
Zdu$vM^zrqQglNs,15,4,9,0,2,Medium
6Yv6aszwMNk,11,3,6,2,0,Medium
EA3lFtVa,8,4,3,1,0,Medium
uSm8YB8W7FmXq,13,6,4,3,0,Medium
rZPK2Y&jS!d,11,5,3,1,2,Strong
wEVUR#aYj,9,5,3,0,1,Medium
Dr@yfBM3lRXx2tKN,16,7,6,2,1,Strong
9eH1wuY%n7kS,12,3,5,3,1,Strong
mZbuOq#X6b!Z2gM2,16,5,6,3,2,Strong
o5#V8Q&Uow,10,3,3,2,2,Strong
&XktaRHz$63g,12,3,5,2,2,Strong
Kfp!6UgVG2RLd,13,6,4,2,1,Strong
IwLT1c5PMeoTe&,14,6,5,2,1,Strong
Fwk&mqs@3JS6,12,3,5,2,2,Strong
F^6fjPVesmW$kRM,15,6,6,1,2,Strong
ZcxGk3oyHM$*,12,4,5,1,2,Strong
gV8B3JxJ#,9,4,2,2,1,Strong
fZxKIa0Ac1qJI7Om,16,7,6,3,0,Medium
CcPCiK61Q,9,5,2,2,0,Medium
X8bRROS4t7@A&v,14,6,3,3,2,Strong
XGZek!SkA^VMLO57,16,9,3,2,2,Strong
tvT31c,6,1,3,2,0,Medium
!EW&qWpmYB,10,5,3,0,2,Medium
oLwuZ0TB1,9,4,3,2,0,Medium
JOUnO#&&YCZ@7K5,15,8,1,2,4,Strong
wZKa&Q7w,8,3,3,1,1,Strong
mX110ydCr#k0cPFv,16,4,7,4,1,Strong
8lVcX$yu6VEw8zP,15,5,6,3,1,Strong
LidA76F4,8,3,2,3,0,Medium
w7#oQuF7i,9,2,4,2,1,Strong
e0%8Xj,6,1,2,2,1,Medium
H&p&d49hLYfU,12,4,4,2,2,Strong
$42pnsHovU0R,12,3,5,3,1,Strong
F9AHmQj6,8,4,2,2,0,Medium
FHRL4Q5HJers%,13,7,3,2,1,Strong
dCVULNuN84,10,6,2,2,0,Medium
LtqsLXGDdBMsbHU$,16,9,6,0,1,Medium
Z9vSt#O%VW!v^9,14,5,3,2,4,Strong
9WbiRCNA,8,5,2,1,0,Medium
tJpzT@6b^,9,2,4,1,2,Strong
zUeZmQ#iI,9,4,4,0,1,Medium
&&kh5%FFGxFD6w,14,5,4,2,3,Strong
IJlyiq,6,2,4,0,0,Weak
MhADF97m&gOjz9,14,5,5,3,1,Strong
4k8zm*B,7,1,3,2,1,Medium
!Mb3o4y6aG0I@wQ,15,4,5,4,2,Strong
9$KMH&FRJ#N4ox,14,7,2,2,3,Strong
aO$8@uwi3Mm4R,13,3,5,3,2,Strong
&xynDBN#NO^8nMAt,16,7,5,1,3,Strong
uyYvuuP%81I,11,3,5,2,1,Strong
H8MVsNQTO,9,7,1,1,0,Medium
N2Y1aZh0Tr6Jc,13,5,4,4,0,Medium
AGLVdP2WP,9,7,1,1,0,Medium
zB#4JnjFuP98fX,14,5,5,3,1,Strong
FJWhmhRJ&V4Ko,13,7,4,1,1,Strong
rjP0ttMzl4FP*,13,4,6,2,1,Strong
H^LcriOU5BxP7D6U,16,8,4,3,1,Strong
zHGcrp02Y!g,11,3,5,2,1,Strong
h$Vc3e#P&!KQij,14,4,5,1,4,Strong
lo&u$l7yj3J75tQ,15,2,7,4,2,Strong
xR6^3cZ,7,2,2,2,1,Medium
LaXcbCP2tHCP&6z,15,7,5,2,1,Strong
TtysANxmd&fq*Si,15,4,9,0,2,Medium
ODAzMu2IDBT,11,8,2,1,0,Medium
r4pWd4,6,1,3,2,0,Medium
